date,close,volume,open,high,low,symbol
2024-01-09,195.94,1983273,195.55,199.825,194.045,ZTS
2024-01-08,196.15,1610635,194.53,196.28,192.67,ZTS
2024-01-05,194.85,1088179,193.07,195.94,193.07,ZTS
2024-01-04,194.04,1852027,192.85,194.93,192.01,ZTS
2024-01-03,192.93,1492974,195.92,195.95,192.795,ZTS
2024-01-02,196.57,1642328,195.79,197.95,195.045,ZTS
2023-12-29,197.37,1007235,196.68,198.01,196.25,ZTS
2023-12-28,197.16,880094,197.62,198.6,196.53,ZTS
2023-12-27,196.9,766411,195.41,197.01,194.7377,ZTS
2023-12-26,195.5,814641,194.88,196.3426,194.09,ZTS
2023-12-22,194.98,1548412,195.32,195.91,192.74,ZTS
2023-12-21,194.66,2118571,196.0,196.975,193.9,ZTS
2023-12-20,194.63,1833160,198.0,199.34,194.57,ZTS
2023-12-19,198.08,1600281,197.78,198.98,197.239,ZTS
2023-12-18,196.72,1543118,197.81,198.14,195.6,ZTS
2023-12-15,196.29,4058340,199.41,199.41,193.97,ZTS
2023-12-14,200.09,3044447,198.0,201.92,198.0,ZTS
2023-12-13,197.41,2104749,191.78,197.67,190.94,ZTS
2023-12-12,191.47,1899728,190.08,192.5,188.92,ZTS
2023-12-11,189.46,3199162,185.17,190.15,184.68,ZTS
2023-12-08,184.6,1474667,182.08,184.85,181.47,ZTS
2023-12-07,181.83,1088593,182.46,182.6,180.5063,ZTS
2023-12-06,182.0,1552897,180.75,183.18,180.635,ZTS
2023-12-05,179.65,1425860,181.29,182.04,178.86,ZTS
2023-12-04,182.12,1559537,178.81,182.66,178.81,ZTS
2023-12-01,179.13,1367209,176.25,179.46,175.98,ZTS
2023-11-30,176.67,2581913,175.04,176.86,173.63,ZTS
2023-11-29,175.79,1524408,177.87,178.055,175.24,ZTS
2023-11-28,176.97,1348892,178.11,178.36,176.155,ZTS
2023-11-27,178.79,1442921,180.03,180.79,178.47,ZTS
2023-11-24,180.21,635174,180.17,181.385,179.38,ZTS
2023-11-22,179.35,1501463,180.0,180.97,178.775,ZTS
2023-11-21,178.73,1423784,176.64,179.91,175.77,ZTS
2023-11-20,176.06,1056740,174.32,177.0,173.9,ZTS
2023-11-17,174.8,2425121,177.41,177.7,173.695,ZTS
2023-11-16,176.54,1566948,175.03,176.81,173.8,ZTS
2023-11-15,174.62,1714105,172.49,175.65,172.48,ZTS
2023-11-14,172.65,1421542,171.41,175.24,171.35,ZTS
2023-11-13,168.83,1544904,168.68,169.61,167.57,ZTS
2023-11-10,169.32,2108534,170.51,170.51,166.235,ZTS
2023-11-09,170.63,3479316,170.97,173.56,170.55,ZTS
2023-11-08,170.87,3326312,168.83,171.72,167.96,ZTS
2023-11-07,167.16,2938156,163.09,167.45,163.07,ZTS
2023-11-06,163.17,2112612,170.28,170.92,162.22,ZTS
2023-11-03,162.23,1974804,164.25,164.72,159.37,ZTS
2023-11-02,160.91,4137900,155.31,161.83,155.22,ZTS
2023-11-01,151.44,7269965,156.42,157.0,151.03,ZTS
2023-10-31,157.0,3208868,157.51,158.53,156.09,ZTS
2023-10-30,157.0,2756158,157.13,158.413,153.52,ZTS
2023-10-27,156.03,2407137,157.93,157.932,155.16,ZTS
2023-10-26,158.07,2891315,162.27,162.29,157.88,ZTS
2023-10-25,163.67,1273715,165.56,165.9884,162.35,ZTS
2023-10-24,167.12,1201472,166.63,168.24,166.25,ZTS
2023-10-23,166.5,1075403,166.58,168.58,166.01,ZTS
2023-10-20,167.09,1932045,167.62,168.26,165.09,ZTS
2023-10-19,168.04,1602295,169.86,171.19,167.575,ZTS
2023-10-18,169.54,1228588,172.92,174.06,169.45,ZTS
2023-10-17,174.26,1716299,172.87,174.43,171.381,ZTS
2023-10-16,175.18,1264384,175.01,176.54,173.67,ZTS
2023-10-13,174.38,1287393,173.42,175.73,173.0,ZTS
2023-10-12,174.31,1306324,176.83,177.55,174.21,ZTS
2023-10-11,176.95,1053562,176.66,177.325,175.02,ZTS
2023-10-10,175.63,1665292,174.29,176.79,173.55,ZTS
2023-10-09,174.6,1215109,173.61,175.4,172.25,ZTS
2023-10-06,175.58,1490631,171.78,175.93,170.28,ZTS
2023-10-05,172.0,2083436,171.19,172.58,170.01,ZTS
2023-10-04,170.99,1673449,171.12,171.535,169.19,ZTS
2023-10-03,170.33,1671832,171.82,172.95,169.69,ZTS
2023-10-02,172.73,1270162,173.2,173.3593,170.58,ZTS
